project,subject_id,run_name,target_id,function_name,mutant_id,mutant_hash,build_status,test_status,killed,stored_killed,executable,target_test_count,executed_test_count,failing_test_count,error_test_count,skipped_test_count,not_run_test_count,test_results_source,log_path,test_name,eligible,executed,outcome,duration_ms,failure_type,message,worker_id,execution_index
Cli,Cli_40,batch06__Cli_40__parse__cli_40f_parse_line144,cli_40f_parse__line144_244,parse,m06,e03910eefc78e48ae65281f1ff823f017de3e49f044e32dc54a69a2ecdeefe89,SUCCESS,PASS,False,False,True,81,81,0,0,0,0,test_results.csv,harness/executions/java/llm/batch06/runs/batch06__Cli_40__parse__cli_40f_parse_line144/execution/m06.log,org.apache.commons.cli.ValuesTest::testShortArgsWithValue,True,True,PASS,,,,2,61
Cli,Cli_40,batch06__Cli_40__parse__cli_40f_parse_line144,cli_40f_parse__line144_244,parse,m06,e03910eefc78e48ae65281f1ff823f017de3e49f044e32dc54a69a2ecdeefe89,SUCCESS,PASS,False,False,True,81,81,0,0,0,0,test_results.csv,harness/executions/java/llm/batch06/runs/batch06__Cli_40__parse__cli_40f_parse_line144/execution/m06.log,org.apache.commons.cli.ValuesTest::testTwoArgValues,True,True,PASS,,,,2,62
Cli,Cli_40,batch06__Cli_40__parse__cli_40f_parse_line144,cli_40f_parse__line144_244,parse,m06,e03910eefc78e48ae65281f1ff823f017de3e49f044e32dc54a69a2ecdeefe89,SUCCESS,PASS,False,False,True,81,81,0,0,0,0,test_results.csv,harness/executions/java/llm/batch06/runs/batch06__Cli_40__parse__cli_40f_parse_line144/execution/m06.log,org.apache.commons.cli.bug.BugCLI133Test::testOrder,True,True,PASS,,,,2,63
Cli,Cli_40,batch06__Cli_40__parse__cli_40f_parse_line144,cli_40f_parse__line144_244,parse,m06,e03910eefc78e48ae65281f1ff823f017de3e49f044e32dc54a69a2ecdeefe89,SUCCESS,PASS,False,False,True,81,81,0,0,0,0,test_results.csv,harness/executions/java/llm/batch06/runs/batch06__Cli_40__parse__cli_40f_parse_line144/execution/m06.log,org.apache.commons.cli.bug.BugCLI13Test::testCLI13,True,True,PASS,,,,2,64
Cli,Cli_40,batch06__Cli_40__parse__cli_40f_parse_line144,cli_40f_parse__line144_244,parse,m06,e03910eefc78e48ae65281f1ff823f017de3e49f044e32dc54a69a2ecdeefe89,SUCCESS,PASS,False,False,True,81,81,0,0,0,0,test_results.csv,harness/executions/java/llm/batch06/runs/batch06__Cli_40__parse__cli_40f_parse_line144/execution/m06.log,org.apache.commons.cli.bug.BugCLI148Test::testWorkaround1,True,True,PASS,,,,2,65
Cli,Cli_40,batch06__Cli_40__parse__cli_40f_parse_line144,cli_40f_parse__line144_244,parse,m06,e03910eefc78e48ae65281f1ff823f017de3e49f044e32dc54a69a2ecdeefe89,SUCCESS,PASS,False,False,True,81,81,0,0,0,0,test_results.csv,harness/executions/java/llm/batch06/runs/batch06__Cli_40__parse__cli_40f_parse_line144/execution/m06.log,org.apache.commons.cli.bug.BugCLI148Test::testWorkaround2,True,True,PASS,,,,2,66
Cli,Cli_40,batch06__Cli_40__parse__cli_40f_parse_line144,cli_40f_parse__line144_244,parse,m06,e03910eefc78e48ae65281f1ff823f017de3e49f044e32dc54a69a2ecdeefe89,SUCCESS,PASS,False,False,True,81,81,0,0,0,0,test_results.csv,harness/executions/java/llm/batch06/runs/batch06__Cli_40__parse__cli_40f_parse_line144/execution/m06.log,org.apache.commons.cli.bug.BugCLI71Test::testBasic,True,True,PASS,,,,2,67
Cli,Cli_40,batch06__Cli_40__parse__cli_40f_parse_line144,cli_40f_parse__line144_244,parse,m06,e03910eefc78e48ae65281f1ff823f017de3e49f044e32dc54a69a2ecdeefe89,SUCCESS,PASS,False,False,True,81,81,0,0,0,0,test_results.csv,harness/executions/java/llm/batch06/runs/batch06__Cli_40__parse__cli_40f_parse_line144/execution/m06.log,org.apache.commons.cli.bug.BugCLI71Test::testGetsDefaultIfOptional,True,True,PASS,,,,2,68
Cli,Cli_40,batch06__Cli_40__parse__cli_40f_parse_line144,cli_40f_parse__line144_244,parse,m06,e03910eefc78e48ae65281f1ff823f017de3e49f044e32dc54a69a2ecdeefe89,SUCCESS,PASS,False,False,True,81,81,0,0,0,0,test_results.csv,harness/executions/java/llm/batch06/runs/batch06__Cli_40__parse__cli_40f_parse_line144/execution/m06.log,org.apache.commons.cli.bug.BugCLI71Test::testLackOfError,True,True,PASS,,,,2,69
Cli,Cli_40,batch06__Cli_40__parse__cli_40f_parse_line144,cli_40f_parse__line144_244,parse,m06,e03910eefc78e48ae65281f1ff823f017de3e49f044e32dc54a69a2ecdeefe89,SUCCESS,PASS,False,False,True,81,81,0,0,0,0,test_results.csv,harness/executions/java/llm/batch06/runs/batch06__Cli_40__parse__cli_40f_parse_line144/execution/m06.log,org.apache.commons.cli.bug.BugCLI71Test::testMistakenArgument,True,True,PASS,,,,2,70
Cli,Cli_40,batch06__Cli_40__parse__cli_40f_parse_line144,cli_40f_parse__line144_244,parse,m06,e03910eefc78e48ae65281f1ff823f017de3e49f044e32dc54a69a2ecdeefe89,SUCCESS,PASS,False,False,True,81,81,0,0,0,0,test_results.csv,harness/executions/java/llm/batch06/runs/batch06__Cli_40__parse__cli_40f_parse_line144/execution/m06.log,org.apache.commons.cli.bug.BugsTest::test11456,True,True,PASS,,,,2,71
Cli,Cli_40,batch06__Cli_40__parse__cli_40f_parse_line144,cli_40f_parse__line144_244,parse,m06,e03910eefc78e48ae65281f1ff823f017de3e49f044e32dc54a69a2ecdeefe89,SUCCESS,PASS,False,False,True,81,81,0,0,0,0,test_results.csv,harness/executions/java/llm/batch06/runs/batch06__Cli_40__parse__cli_40f_parse_line144/execution/m06.log,org.apache.commons.cli.bug.BugsTest::test11457,True,True,PASS,,,,2,72
Cli,Cli_40,batch06__Cli_40__parse__cli_40f_parse_line144,cli_40f_parse__line144_244,parse,m06,e03910eefc78e48ae65281f1ff823f017de3e49f044e32dc54a69a2ecdeefe89,SUCCESS,PASS,False,False,True,81,81,0,0,0,0,test_results.csv,harness/executions/java/llm/batch06/runs/batch06__Cli_40__parse__cli_40f_parse_line144/execution/m06.log,org.apache.commons.cli.bug.BugsTest::test11458,True,True,PASS,,,,2,73
Cli,Cli_40,batch06__Cli_40__parse__cli_40f_parse_line144,cli_40f_parse__line144_244,parse,m06,e03910eefc78e48ae65281f1ff823f017de3e49f044e32dc54a69a2ecdeefe89,SUCCESS,PASS,False,False,True,81,81,0,0,0,0,test_results.csv,harness/executions/java/llm/batch06/runs/batch06__Cli_40__parse__cli_40f_parse_line144/execution/m06.log,org.apache.commons.cli.bug.BugsTest::test11680,True,True,PASS,,,,2,74
Cli,Cli_40,batch06__Cli_40__parse__cli_40f_parse_line144,cli_40f_parse__line144_244,parse,m06,e03910eefc78e48ae65281f1ff823f017de3e49f044e32dc54a69a2ecdeefe89,SUCCESS,PASS,False,False,True,81,81,0,0,0,0,test_results.csv,harness/executions/java/llm/batch06/runs/batch06__Cli_40__parse__cli_40f_parse_line144/execution/m06.log,org.apache.commons.cli.bug.BugsTest::test12210,True,True,PASS,,,,2,75
Cli,Cli_40,batch06__Cli_40__parse__cli_40f_parse_line144,cli_40f_parse__line144_244,parse,m06,e03910eefc78e48ae65281f1ff823f017de3e49f044e32dc54a69a2ecdeefe89,SUCCESS,PASS,False,False,True,81,81,0,0,0,0,test_results.csv,harness/executions/java/llm/batch06/runs/batch06__Cli_40__parse__cli_40f_parse_line144/execution/m06.log,org.apache.commons.cli.bug.BugsTest::test13425,True,True,PASS,,,,2,76
Cli,Cli_40,batch06__Cli_40__parse__cli_40f_parse_line144,cli_40f_parse__line144_244,parse,m06,e03910eefc78e48ae65281f1ff823f017de3e49f044e32dc54a69a2ecdeefe89,SUCCESS,PASS,False,False,True,81,81,0,0,0,0,test_results.csv,harness/executions/java/llm/batch06/runs/batch06__Cli_40__parse__cli_40f_parse_line144/execution/m06.log,org.apache.commons.cli.bug.BugsTest::test13935,True,True,PASS,,,,2,77
Cli,Cli_40,batch06__Cli_40__parse__cli_40f_parse_line144,cli_40f_parse__line144_244,parse,m06,e03910eefc78e48ae65281f1ff823f017de3e49f044e32dc54a69a2ecdeefe89,SUCCESS,PASS,False,False,True,81,81,0,0,0,0,test_results.csv,harness/executions/java/llm/batch06/runs/batch06__Cli_40__parse__cli_40f_parse_line144/execution/m06.log,org.apache.commons.cli.bug.BugsTest::test14786,True,True,PASS,,,,2,78
Cli,Cli_40,batch06__Cli_40__parse__cli_40f_parse_line144,cli_40f_parse__line144_244,parse,m06,e03910eefc78e48ae65281f1ff823f017de3e49f044e32dc54a69a2ecdeefe89,SUCCESS,PASS,False,False,True,81,81,0,0,0,0,test_results.csv,harness/executions/java/llm/batch06/runs/batch06__Cli_40__parse__cli_40f_parse_line144/execution/m06.log,org.apache.commons.cli.bug.BugsTest::test15046,True,True,PASS,,,,2,79
Cli,Cli_40,batch06__Cli_40__parse__cli_40f_parse_line144,cli_40f_parse__line144_244,parse,m06,e03910eefc78e48ae65281f1ff823f017de3e49f044e32dc54a69a2ecdeefe89,SUCCESS,PASS,False,False,True,81,81,0,0,0,0,test_results.csv,harness/executions/java/llm/batch06/runs/batch06__Cli_40__parse__cli_40f_parse_line144/execution/m06.log,org.apache.commons.cli.bug.BugsTest::test15648,True,True,PASS,,,,2,80
Cli,Cli_40,batch06__Cli_40__parse__cli_40f_parse_line144,cli_40f_parse__line144_244,parse,m06,e03910eefc78e48ae65281f1ff823f017de3e49f044e32dc54a69a2ecdeefe89,SUCCESS,PASS,False,False,True,81,81,0,0,0,0,test_results.csv,harness/executions/java/llm/batch06/runs/batch06__Cli_40__parse__cli_40f_parse_line144/execution/m06.log,org.apache.commons.cli.bug.BugsTest::test31148,True,True,PASS,,,,2,81
Cli,Cli_40,batch06__Cli_40__parse__cli_40f_parse_line144,cli_40f_parse__line144_244,parse,m07,769fd79e1f97c3b29464c92f898bc62ad3bf25b5e6c3ec2534cc3d98a5bd2efd,SUCCESS,PASS,False,False,True,81,81,0,0,0,0,test_results.csv,harness/executions/java/llm/batch06/runs/batch06__Cli_40__parse__cli_40f_parse_line144/execution/m07.log,org.apache.commons.cli.ApplicationTest::testAnt,True,True,PASS,,,,1,1
Cli,Cli_40,batch06__Cli_40__parse__cli_40f_parse_line144,cli_40f_parse__line144_244,parse,m07,769fd79e1f97c3b29464c92f898bc62ad3bf25b5e6c3ec2534cc3d98a5bd2efd,SUCCESS,PASS,False,False,True,81,81,0,0,0,0,test_results.csv,harness/executions/java/llm/batch06/runs/batch06__Cli_40__parse__cli_40f_parse_line144/execution/m07.log,org.apache.commons.cli.ApplicationTest::testGroovy,True,True,PASS,,,,1,2
Cli,Cli_40,batch06__Cli_40__parse__cli_40f_parse_line144,cli_40f_parse__line144_244,parse,m07,769fd79e1f97c3b29464c92f898bc62ad3bf25b5e6c3ec2534cc3d98a5bd2efd,SUCCESS,PASS,False,False,True,81,81,0,0,0,0,test_results.csv,harness/executions/java/llm/batch06/runs/batch06__Cli_40__parse__cli_40f_parse_line144/execution/m07.log,org.apache.commons.cli.ApplicationTest::testLs,True,True,PASS,,,,1,3
Cli,Cli_40,batch06__Cli_40__parse__cli_40f_parse_line144,cli_40f_parse__line144_244,parse,m07,769fd79e1f97c3b29464c92f898bc62ad3bf25b5e6c3ec2534cc3d98a5bd2efd,SUCCESS,PASS,False,False,True,81,81,0,0,0,0,test_results.csv,harness/executions/java/llm/batch06/runs/batch06__Cli_40__parse__cli_40f_parse_line144/execution/m07.log,org.apache.commons.cli.ApplicationTest::testNLT,True,True,PASS,,,,1,4
Cli,Cli_40,batch06__Cli_40__parse__cli_40f_parse_line144,cli_40f_parse__line144_244,parse,m07,769fd79e1f97c3b29464c92f898bc62ad3bf25b5e6c3ec2534cc3d98a5bd2efd,SUCCESS,PASS,False,False,True,81,81,0,0,0,0,test_results.csv,harness/executions/java/llm/batch06/runs/batch06__Cli_40__parse__cli_40f_parse_line144/execution/m07.log,org.apache.commons.cli.ArgumentIsOptionTest::testOption,True,True,PASS,,,,1,5
Cli,Cli_40,batch06__Cli_40__parse__cli_40f_parse_line144,cli_40f_parse__line144_244,parse,m07,769fd79e1f97c3b29464c92f898bc62ad3bf25b5e6c3ec2534cc3d98a5bd2efd,SUCCESS,PASS,False,False,True,81,81,0,0,0,0,test_results.csv,harness/executions/java/llm/batch06/runs/batch06__Cli_40__parse__cli_40f_parse_line144/execution/m07.log,org.apache.commons.cli.ArgumentIsOptionTest::testOptionAndOptionWithArgument,True,True,PASS,,,,1,6
Cli,Cli_40,batch06__Cli_40__parse__cli_40f_parse_line144,cli_40f_parse__line144_244,parse,m07,769fd79e1f97c3b29464c92f898bc62ad3bf25b5e6c3ec2534cc3d98a5bd2efd,SUCCESS,PASS,False,False,True,81,81,0,0,0,0,test_results.csv,harness/executions/java/llm/batch06/runs/batch06__Cli_40__parse__cli_40f_parse_line144/execution/m07.log,org.apache.commons.cli.ArgumentIsOptionTest::testOptionWithArgument,True,True,PASS,,,,1,7
Cli,Cli_40,batch06__Cli_40__parse__cli_40f_parse_line144,cli_40f_parse__line144_244,parse,m07,769fd79e1f97c3b29464c92f898bc62ad3bf25b5e6c3ec2534cc3d98a5bd2efd,SUCCESS,PASS,False,False,True,81,81,0,0,0,0,test_results.csv,harness/executions/java/llm/batch06/runs/batch06__Cli_40__parse__cli_40f_parse_line144/execution/m07.log,org.apache.commons.cli.CommandLineTest::testGetOptionProperties,True,True,PASS,,,,1,8
Cli,Cli_40,batch06__Cli_40__parse__cli_40f_parse_line144,cli_40f_parse__line144_244,parse,m07,769fd79e1f97c3b29464c92f898bc62ad3bf25b5e6c3ec2534cc3d98a5bd2efd,SUCCESS,PASS,False,False,True,81,81,0,0,0,0,test_results.csv,harness/executions/java/llm/batch06/runs/batch06__Cli_40__parse__cli_40f_parse_line144/execution/m07.log,org.apache.commons.cli.CommandLineTest::testGetOptionPropertiesWithOption,True,True,PASS,,,,1,9
Cli,Cli_40,batch06__Cli_40__parse__cli_40f_parse_line144,cli_40f_parse__line144_244,parse,m07,769fd79e1f97c3b29464c92f898bc62ad3bf25b5e6c3ec2534cc3d98a5bd2efd,SUCCESS,PASS,False,False,True,81,81,0,0,0,0,test_results.csv,harness/executions/java/llm/batch06/runs/batch06__Cli_40__parse__cli_40f_parse_line144/execution/m07.log,org.apache.commons.cli.OptionGroupTest::testNoOptionsExtraArgs,True,True,PASS,,,,1,10
Cli,Cli_40,batch06__Cli_40__parse__cli_40f_parse_line144,cli_40f_parse__line144_244,parse,m07,769fd79e1f97c3b29464c92f898bc62ad3bf25b5e6c3ec2534cc3d98a5bd2efd,SUCCESS,PASS,False,False,True,81,81,0,0,0,0,test_results.csv,harness/executions/java/llm/batch06/runs/batch06__Cli_40__parse__cli_40f_parse_line144/execution/m07.log,org.apache.commons.cli.OptionGroupTest::testSingleLongOption,True,True,PASS,,,,1,11
Cli,Cli_40,batch06__Cli_40__parse__cli_40f_parse_line144,cli_40f_parse__line144_244,parse,m07,769fd79e1f97c3b29464c92f898bc62ad3bf25b5e6c3ec2534cc3d98a5bd2efd,SUCCESS,PASS,False,False,True,81,81,0,0,0,0,test_results.csv,harness/executions/java/llm/batch06/runs/batch06__Cli_40__parse__cli_40f_parse_line144/execution/m07.log,org.apache.commons.cli.OptionGroupTest::testSingleOption,True,True,PASS,,,,1,12
Cli,Cli_40,batch06__Cli_40__parse__cli_40f_parse_line144,cli_40f_parse__line144_244,parse,m07,769fd79e1f97c3b29464c92f898bc62ad3bf25b5e6c3ec2534cc3d98a5bd2efd,SUCCESS,PASS,False,False,True,81,81,0,0,0,0,test_results.csv,harness/executions/java/llm/batch06/runs/batch06__Cli_40__parse__cli_40f_parse_line144/execution/m07.log,org.apache.commons.cli.OptionGroupTest::testSingleOptionFromGroup,True,True,PASS,,,,1,13
Cli,Cli_40,batch06__Cli_40__parse__cli_40f_parse_line144,cli_40f_parse__line144_244,parse,m07,769fd79e1f97c3b29464c92f898bc62ad3bf25b5e6c3ec2534cc3d98a5bd2efd,SUCCESS,PASS,False,False,True,81,81,0,0,0,0,test_results.csv,harness/executions/java/llm/batch06/runs/batch06__Cli_40__parse__cli_40f_parse_line144/execution/m07.log,org.apache.commons.cli.OptionGroupTest::testTwoLongOptionsFromGroup,True,True,PASS,,,,1,14
Cli,Cli_40,batch06__Cli_40__parse__cli_40f_parse_line144,cli_40f_parse__line144_244,parse,m07,769fd79e1f97c3b29464c92f898bc62ad3bf25b5e6c3ec2534cc3d98a5bd2efd,SUCCESS,PASS,False,False,True,81,81,0,0,0,0,test_results.csv,harness/executions/java/llm/batch06/runs/batch06__Cli_40__parse__cli_40f_parse_line144/execution/m07.log,org.apache.commons.cli.OptionGroupTest::testTwoOptionsFromDifferentGroup,True,True,PASS,,,,1,15
Cli,Cli_40,batch06__Cli_40__parse__cli_40f_parse_line144,cli_40f_parse__line144_244,parse,m07,769fd79e1f97c3b29464c92f898bc62ad3bf25b5e6c3ec2534cc3d98a5bd2efd,SUCCESS,PASS,False,False,True,81,81,0,0,0,0,test_results.csv,harness/executions/java/llm/batch06/runs/batch06__Cli_40__parse__cli_40f_parse_line144/execution/m07.log,org.apache.commons.cli.OptionGroupTest::testTwoOptionsFromGroup,True,True,PASS,,,,1,16
Cli,Cli_40,batch06__Cli_40__parse__cli_40f_parse_line144,cli_40f_parse__line144_244,parse,m07,769fd79e1f97c3b29464c92f898bc62ad3bf25b5e6c3ec2534cc3d98a5bd2efd,SUCCESS,PASS,False,False,True,81,81,0,0,0,0,test_results.csv,harness/executions/java/llm/batch06/runs/batch06__Cli_40__parse__cli_40f_parse_line144/execution/m07.log,org.apache.commons.cli.OptionGroupTest::testTwoOptionsFromGroupWithProperties,True,True,PASS,,,,1,17
Cli,Cli_40,batch06__Cli_40__parse__cli_40f_parse_line144,cli_40f_parse__line144_244,parse,m07,769fd79e1f97c3b29464c92f898bc62ad3bf25b5e6c3ec2534cc3d98a5bd2efd,SUCCESS,PASS,False,False,True,81,81,0,0,0,0,test_results.csv,harness/executions/java/llm/batch06/runs/batch06__Cli_40__parse__cli_40f_parse_line144/execution/m07.log,org.apache.commons.cli.OptionGroupTest::testTwoValidLongOptions,True,True,PASS,,,,1,18
Cli,Cli_40,batch06__Cli_40__parse__cli_40f_parse_line144,cli_40f_parse__line144_244,parse,m07,769fd79e1f97c3b29464c92f898bc62ad3bf25b5e6c3ec2534cc3d98a5bd2efd,SUCCESS,PASS,False,False,True,81,81,0,0,0,0,test_results.csv,harness/executions/java/llm/batch06/runs/batch06__Cli_40__parse__cli_40f_parse_line144/execution/m07.log,org.apache.commons.cli.OptionGroupTest::testTwoValidOptions,True,True,PASS,,,,1,19
Cli,Cli_40,batch06__Cli_40__parse__cli_40f_parse_line144,cli_40f_parse__line144_244,parse,m07,769fd79e1f97c3b29464c92f898bc62ad3bf25b5e6c3ec2534cc3d98a5bd2efd,SUCCESS,PASS,False,False,True,81,81,0,0,0,0,test_results.csv,harness/executions/java/llm/batch06/runs/batch06__Cli_40__parse__cli_40f_parse_line144/execution/m07.log,org.apache.commons.cli.OptionGroupTest::testValidLongOnlyOptions,True,True,PASS,,,,1,20
Cli,Cli_40,batch06__Cli_40__parse__cli_40f_parse_line144,cli_40f_parse__line144_244,parse,m07,769fd79e1f97c3b29464c92f898bc62ad3bf25b5e6c3ec2534cc3d98a5bd2efd,SUCCESS,PASS,False,False,True,81,81,0,0,0,0,test_results.csv,harness/executions/java/llm/batch06/runs/batch06__Cli_40__parse__cli_40f_parse_line144/execution/m07.log,org.apache.commons.cli.OptionsTest::testMissingOptionException,True,True,PASS,,,,1,21
Cli,Cli_40,batch06__Cli_40__parse__cli_40f_parse_line144,cli_40f_parse__line144_244,parse,m07,769fd79e1f97c3b29464c92f898bc62ad3bf25b5e6c3ec2534cc3d98a5bd2efd,SUCCESS,PASS,False,False,True,81,81,0,0,0,0,test_results.csv,harness/executions/java/llm/batch06/runs/batch06__Cli_40__parse__cli_40f_parse_line144/execution/m07.log,org.apache.commons.cli.OptionsTest::testMissingOptionsException,True,True,PASS,,,,1,22
Cli,Cli_40,batch06__Cli_40__parse__cli_40f_parse_line144,cli_40f_parse__line144_244,parse,m07,769fd79e1f97c3b29464c92f898bc62ad3bf25b5e6c3ec2534cc3d98a5bd2efd,SUCCESS,PASS,False,False,True,81,81,0,0,0,0,test_results.csv,harness/executions/java/llm/batch06/runs/batch06__Cli_40__parse__cli_40f_parse_line144/execution/m07.log,org.apache.commons.cli.PatternOptionBuilderTest::testClassPattern,True,True,PASS,,,,1,23
Cli,Cli_40,batch06__Cli_40__parse__cli_40f_parse_line144,cli_40f_parse__line144_244,parse,m07,769fd79e1f97c3b29464c92f898bc62ad3bf25b5e6c3ec2534cc3d98a5bd2efd,SUCCESS,PASS,False,False,True,81,81,0,0,0,0,test_results.csv,harness/executions/java/llm/batch06/runs/batch06__Cli_40__parse__cli_40f_parse_line144/execution/m07.log,org.apache.commons.cli.PatternOptionBuilderTest::testExistingFilePattern,True,True,PASS,,,,1,24
Cli,Cli_40,batch06__Cli_40__parse__cli_40f_parse_line144,cli_40f_parse__line144_244,parse,m07,769fd79e1f97c3b29464c92f898bc62ad3bf25b5e6c3ec2534cc3d98a5bd2efd,SUCCESS,PASS,False,False,True,81,81,0,0,0,0,test_results.csv,harness/executions/java/llm/batch06/runs/batch06__Cli_40__parse__cli_40f_parse_line144/execution/m07.log,org.apache.commons.cli.PatternOptionBuilderTest::testExistingFilePatternFileNotExist,True,True,PASS,,,,1,25
Cli,Cli_40,batch06__Cli_40__parse__cli_40f_parse_line144,cli_40f_parse__line144_244,parse,m07,769fd79e1f97c3b29464c92f898bc62ad3bf25b5e6c3ec2534cc3d98a5bd2efd,SUCCESS,PASS,False,False,True,81,81,0,0,0,0,test_results.csv,harness/executions/java/llm/batch06/runs/batch06__Cli_40__parse__cli_40f_parse_line144/execution/m07.log,org.apache.commons.cli.PatternOptionBuilderTest::testNumberPattern,True,True,PASS,,,,1,26
Cli,Cli_40,batch06__Cli_40__parse__cli_40f_parse_line144,cli_40f_parse__line144_244,parse,m07,769fd79e1f97c3b29464c92f898bc62ad3bf25b5e6c3ec2534cc3d98a5bd2efd,SUCCESS,PASS,False,False,True,81,81,0,0,0,0,test_results.csv,harness/executions/java/llm/batch06/runs/batch06__Cli_40__parse__cli_40f_parse_line144/execution/m07.log,org.apache.commons.cli.PatternOptionBuilderTest::testObjectPattern,True,True,PASS,,,,1,27
Cli,Cli_40,batch06__Cli_40__parse__cli_40f_parse_line144,cli_40f_parse__line144_244,parse,m07,769fd79e1f97c3b29464c92f898bc62ad3bf25b5e6c3ec2534cc3d98a5bd2efd,SUCCESS,PASS,False,False,True,81,81,0,0,0,0,test_results.csv,harness/executions/java/llm/batch06/runs/batch06__Cli_40__parse__cli_40f_parse_line144/execution/m07.log,org.apache.commons.cli.PatternOptionBuilderTest::testRequiredOption,True,True,PASS,,,,1,28
Cli,Cli_40,batch06__Cli_40__parse__cli_40f_parse_line144,cli_40f_parse__line144_244,parse,m07,769fd79e1f97c3b29464c92f898bc62ad3bf25b5e6c3ec2534cc3d98a5bd2efd,SUCCESS,PASS,False,False,True,81,81,0,0,0,0,test_results.csv,harness/executions/java/llm/batch06/runs/batch06__Cli_40__parse__cli_40f_parse_line144/execution/m07.log,org.apache.commons.cli.PatternOptionBuilderTest::testSimplePattern,True,True,PASS,,,,1,29
Cli,Cli_40,batch06__Cli_40__parse__cli_40f_parse_line144,cli_40f_parse__line144_244,parse,m07,769fd79e1f97c3b29464c92f898bc62ad3bf25b5e6c3ec2534cc3d98a5bd2efd,SUCCESS,PASS,False,False,True,81,81,0,0,0,0,test_results.csv,harness/executions/java/llm/batch06/runs/batch06__Cli_40__parse__cli_40f_parse_line144/execution/m07.log,org.apache.commons.cli.PatternOptionBuilderTest::testURLPattern,True,True,PASS,,,,1,30
Cli,Cli_40,batch06__Cli_40__parse__cli_40f_parse_line144,cli_40f_parse__line144_244,parse,m07,769fd79e1f97c3b29464c92f898bc62ad3bf25b5e6c3ec2534cc3d98a5bd2efd,SUCCESS,PASS,False,False,True,81,81,0,0,0,0,test_results.csv,harness/executions/java/llm/batch06/runs/batch06__Cli_40__parse__cli_40f_parse_line144/execution/m07.log,org.apache.commons.cli.PatternOptionBuilderTest::testUntypedPattern,True,True,PASS,,,,1,31
Cli,Cli_40,batch06__Cli_40__parse__cli_40f_parse_line144,cli_40f_parse__line144_244,parse,m07,769fd79e1f97c3b29464c92f898bc62ad3bf25b5e6c3ec2534cc3d98a5bd2efd,SUCCESS,PASS,False,False,True,81,81,0,0,0,0,test_results.csv,harness/executions/java/llm/batch06/runs/batch06__Cli_40__parse__cli_40f_parse_line144/execution/m07.log,org.apache.commons.cli.ValueTest::testLongNoArg,True,True,PASS,,,,1,32
Cli,Cli_40,batch06__Cli_40__parse__cli_40f_parse_line144,cli_40f_parse__line144_244,parse,m07,769fd79e1f97c3b29464c92f898bc62ad3bf25b5e6c3ec2534cc3d98a5bd2efd,SUCCESS,PASS,False,False,True,81,81,0,0,0,0,test_results.csv,harness/executions/java/llm/batch06/runs/batch06__Cli_40__parse__cli_40f_parse_line144/execution/m07.log,org.apache.commons.cli.ValueTest::testLongNoArgWithOption,True,True,PASS,,,,1,33
Cli,Cli_40,batch06__Cli_40__parse__cli_40f_parse_line144,cli_40f_parse__line144_244,parse,m07,769fd79e1f97c3b29464c92f898bc62ad3bf25b5e6c3ec2534cc3d98a5bd2efd,SUCCESS,PASS,False,False,True,81,81,0,0,0,0,test_results.csv,harness/executions/java/llm/batch06/runs/batch06__Cli_40__parse__cli_40f_parse_line144/execution/m07.log,org.apache.commons.cli.ValueTest::testLongOptionalArgValue,True,True,PASS,,,,1,34
Cli,Cli_40,batch06__Cli_40__parse__cli_40f_parse_line144,cli_40f_parse__line144_244,parse,m07,769fd79e1f97c3b29464c92f898bc62ad3bf25b5e6c3ec2534cc3d98a5bd2efd,SUCCESS,PASS,False,False,True,81,81,0,0,0,0,test_results.csv,harness/executions/java/llm/batch06/runs/batch06__Cli_40__parse__cli_40f_parse_line144/execution/m07.log,org.apache.commons.cli.ValueTest::testLongOptionalArgValueWithOption,True,True,PASS,,,,1,35
Cli,Cli_40,batch06__Cli_40__parse__cli_40f_parse_line144,cli_40f_parse__line144_244,parse,m07,769fd79e1f97c3b29464c92f898bc62ad3bf25b5e6c3ec2534cc3d98a5bd2efd,SUCCESS,PASS,False,False,True,81,81,0,0,0,0,test_results.csv,harness/executions/java/llm/batch06/runs/batch06__Cli_40__parse__cli_40f_parse_line144/execution/m07.log,org.apache.commons.cli.ValueTest::testLongOptionalArgValues,True,True,PASS,,,,1,36
Cli,Cli_40,batch06__Cli_40__parse__cli_40f_parse_line144,cli_40f_parse__line144_244,parse,m07,769fd79e1f97c3b29464c92f898bc62ad3bf25b5e6c3ec2534cc3d98a5bd2efd,SUCCESS,PASS,False,False,True,81,81,0,0,0,0,test_results.csv,harness/executions/java/llm/batch06/runs/batch06__Cli_40__parse__cli_40f_parse_line144/execution/m07.log,org.apache.commons.cli.ValueTest::testLongOptionalArgValuesWithOption,True,True,PASS,,,,1,37
Cli,Cli_40,batch06__Cli_40__parse__cli_40f_parse_line144,cli_40f_parse__line144_244,parse,m07,769fd79e1f97c3b29464c92f898bc62ad3bf25b5e6c3ec2534cc3d98a5bd2efd,SUCCESS,PASS,False,False,True,81,81,0,0,0,0,test_results.csv,harness/executions/java/llm/batch06/runs/batch06__Cli_40__parse__cli_40f_parse_line144/execution/m07.log,org.apache.commons.cli.ValueTest::testLongOptionalNArgValues,True,True,PASS,,,,1,38
